"BANCO COLPATRIA", 8.07, 7.81
"Av Villas", 8.72 ,9.21
"BANCO CAJA SOCIAL", 8.41, 8.14
"BBVA Colombia", 6.50, 0.0
"Banco Davivienda", 8.51, 6.83
"Bancolombia", 8.42 , 8.01
"Credifamilia", 10.70, 0.0
"Fondo Nacional del Ahorro", 6.82, 7.31
"La Hipotecaria", 7.50, 7.50

